,2004,2005,2006,2007,2008
New Year's Day,"Thursday, January 1","Saturday, January 1","Monday, January 2","Monday, January 1","Tuesday, January 1"
"Birthday of Martin Luther King, Jr.","Monday, January 19","Monday, January 17","Monday, January 16","Monday, January 15","Monday, January 21"
Washington's Birthday,"Monday, February 16","Monday, February 21","Monday, February 20","Monday, February 19","Monday, February 18"
Memorial Day,"Monday, May 31","Monday, May 30","Monday, May 29","Monday, May 28","Monday, May 26"
Independence Day,"Sunday, July 4","Monday, July 4","Tuesday, July 4","Wednesday, July 4","Friday, July 4"
Labor Day,"Monday, September 6","Monday, September 5","Monday, September 4","Monday, September 3","Monday, September 1"
Columbus Day,"Monday, October 11","Monday, October 10","Monday, October 9","Monday, October 8","Monday, October 13"
Veterans Day,"Thursday, November 11","Friday, November 11","Friday, November 10","Monday, November 12","Tuesday, November 11"
Thanksgiving Day,"Thursday, November 25","Thursday, November 24","Thursday, November 23","Thursday, November 22","Thursday, November 27"
Christmas Day,"Saturday, December 25","Sunday, December 25","Monday, December 25","Tuesday, December 25","Thursday, December 25"
,"Thursday, December 24","Monday, December 26","Sunday, January 1","Sunday, November 11",
,"Friday, December 31",,,,
,"Monday, July 5",,,,
