"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"5/1/2018 12 a.m. PDT",1544,1551,1039,-505
BANC,"5/1/2018 1 a.m. PDT",1449,1507,879,-570
BANC,"5/1/2018 2 a.m. PDT",1387,1438,820,-567
BANC,"5/1/2018 3 a.m. PDT",1354,1401,783,-571
BANC,"5/1/2018 4 a.m. PDT",1347,1388,781,-566
BANC,"5/1/2018 5 a.m. PDT",1382,1425,810,-572
BANC,"5/1/2018 6 a.m. PDT",1492,1533,838,-654
BANC,"5/1/2018 7 a.m. PDT",1640,1677,1228,-412
BANC,"5/1/2018 8 a.m. PDT",1714,1768,1081,-633
BANC,"5/1/2018 9 a.m. PDT",1733,1774,1053,-680
BANC,"5/1/2018 10 a.m. PDT",1714,1792,1004,-710
BANC,"5/1/2018 11 a.m. PDT",1727,1812,1082,-645
BANC,"5/1/2018 12 p.m. PDT",1742,1817,1112,-630
BANC,"5/1/2018 1 p.m. PDT",1750,1835,1111,-639
BANC,"5/1/2018 2 p.m. PDT",1775,1871,1106,-669
BANC,"5/1/2018 3 p.m. PDT",1811,1903,1107,-704
BANC,"5/1/2018 4 p.m. PDT",1829,1940,1127,-702
BANC,"5/1/2018 5 p.m. PDT",1888,1993,1143,-745
BANC,"5/1/2018 6 p.m. PDT",1898,2004,1373,-525
BANC,"5/1/2018 7 p.m. PDT",1922,1974,1482,-440
BANC,"5/1/2018 8 p.m. PDT",1907,1964,1597,-310
BANC,"5/1/2018 9 p.m. PDT",1976,2053,1577,-399
BANC,"5/1/2018 10 p.m. PDT",1884,1984,1485,-399
BANC,"5/1/2018 11 p.m. PDT",1719,1816,1102,-617
BANC,"5/2/2018 12 a.m. PDT",1566,1618,893,-673
BANC,"5/2/2018 1 a.m. PDT",1459,1508,863,-596
BANC,"5/2/2018 2 a.m. PDT",1406,1434,858,-548
BANC,"5/2/2018 3 a.m. PDT",1358,1394,830,-528
BANC,"5/2/2018 4 a.m. PDT",1348,1381,838,-510
BANC,"5/2/2018 5 a.m. PDT",1377,1407,860,-517
BANC,"5/2/2018 6 a.m. PDT",1477,1507,1035,-442
BANC,"5/2/2018 7 a.m. PDT",1608,1641,1320,-288
BANC,"5/2/2018 8 a.m. PDT",1685,1731,1228,-457
BANC,"5/2/2018 9 a.m. PDT",1715,1737,1207,-508
BANC,"5/2/2018 10 a.m. PDT",1700,1768,1172,-528
BANC,"5/2/2018 11 a.m. PDT",1728,1808,1151,-577
BANC,"5/2/2018 12 p.m. PDT",1747,1839,1176,-571
BANC,"5/2/2018 1 p.m. PDT",1781,1876,1167,-614
BANC,"5/2/2018 2 p.m. PDT",1801,1914,1161,-640
