"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"10/1/2021 12 a.m. PDT",1717,1692,1242,-475
BANC,"10/1/2021 1 a.m. PDT",1621,1615,1212,-409
BANC,"10/1/2021 2 a.m. PDT",1545,1543,1223,-322
BANC,"10/1/2021 3 a.m. PDT",1496,1495,1188,-308
BANC,"10/1/2021 4 a.m. PDT",1461,1467,1168,-293
BANC,"10/1/2021 5 a.m. PDT",1491,1477,1174,-317
BANC,"10/1/2021 6 a.m. PDT",1565,1552,1241,-324
BANC,"10/1/2021 7 a.m. PDT",1702,1685,1290,-412
BANC,"10/1/2021 8 a.m. PDT",1762,1748,1210,-552
BANC,"10/1/2021 9 a.m. PDT",1807,1778,1245,-562
BANC,"10/1/2021 10 a.m. PDT",1856,1818,1172,-684
BANC,"10/1/2021 11 a.m. PDT",1923,1872,1211,-712
BANC,"10/1/2021 12 p.m. PDT",1971,1935,1400,-571
BANC,"10/1/2021 1 p.m. PDT",2068,2010,1432,-636
BANC,"10/1/2021 2 p.m. PDT",2176,2118,1527,-649
BANC,"10/1/2021 3 p.m. PDT",2330,2248,1706,-624
BANC,"10/1/2021 4 p.m. PDT",2490,2373,1792,-698
BANC,"10/1/2021 5 p.m. PDT",2609,2487,2091,-518
BANC,"10/1/2021 6 p.m. PDT",2618,2514,2183,-435
BANC,"10/1/2021 7 p.m. PDT",2514,2481,2125,-389
BANC,"10/1/2021 8 p.m. PDT",2418,2419,2101,-317
BANC,"10/1/2021 9 p.m. PDT",2267,2281,1876,-391
BANC,"10/1/2021 10 p.m. PDT",2114,2125,1747,-367
BANC,"10/1/2021 11 p.m. PDT",1945,1943,1588,-357
BANC,"10/2/2021 12 a.m. PDT",1786,1764,1229,-557
BANC,"10/2/2021 1 a.m. PDT",1664,1649,1186,-478
BANC,"10/2/2021 2 a.m. PDT",1571,1573,1234,-337
BANC,"10/2/2021 3 a.m. PDT",1511,1510,1168,-343
BANC,"10/2/2021 4 a.m. PDT",1470,1466,1195,-275
BANC,"10/2/2021 5 a.m. PDT",1469,1451,1201,-268
BANC,"10/2/2021 6 a.m. PDT",1481,1466,1211,-270
BANC,"10/2/2021 7 a.m. PDT",1538,1517,1183,-355
BANC,"10/2/2021 8 a.m. PDT",1568,1552,1298,-270
BANC,"10/2/2021 9 a.m. PDT",1634,1627,1220,-414
BANC,"10/2/2021 10 a.m. PDT",1690,1703,1092,-598
BANC,"10/2/2021 11 a.m. PDT",1766,1783,1151,-615
BANC,"10/2/2021 12 p.m. PDT",1824,1873,1215,-609
BANC,"10/2/2021 1 p.m. PDT",1938,2001,1368,-570
BANC,"10/2/2021 2 p.m. PDT",2079,2155,1433,-646
BANC,"10/2/2021 3 p.m. PDT",2247,2321,1566,-681
BANC,"10/2/2021 4 p.m. PDT",2415,2485,1649,-766
BANC,"10/2/2021 5 p.m. PDT",2538,2617,1794,-744
BANC,"10/2/2021 6 p.m. PDT",2551,2674,1811,-740
BANC,"10/2/2021 7 p.m. PDT",2486,2633,1848,-638
BANC,"10/2/2021 8 p.m. PDT",2390,2566,1838,-552
BANC,"10/2/2021 9 p.m. PDT",2236,2394,1702,-534
BANC,"10/2/2021 10 p.m. PDT",2082,2207,1561,-521
BANC,"10/2/2021 11 p.m. PDT",1916,2009,1344,-572
BANC,"10/3/2021 12 a.m. PDT",1759,1826,1153,-606
BANC,"10/3/2021 1 a.m. PDT",1638,1637,1051,-587
BANC,"10/3/2021 2 a.m. PDT",1552,1551,916,-636
BANC,"10/3/2021 3 a.m. PDT",1490,1489,866,-624
BANC,"10/3/2021 4 a.m. PDT",1452,1443,851,-601
BANC,"10/3/2021 5 a.m. PDT",1442,1423,863,-579
BANC,"10/3/2021 6 a.m. PDT",1453,1429,875,-578
BANC,"10/3/2021 7 a.m. PDT",1505,1462,906,-599
BANC,"10/3/2021 8 a.m. PDT",1516,1487,860,-656
BANC,"10/3/2021 9 a.m. PDT",1579,1565,838,-741
BANC,"10/3/2021 10 a.m. PDT",1646,1653,885,-761
BANC,"10/3/2021 11 a.m. PDT",1721,1754,956,-765
BANC,"10/3/2021 12 p.m. PDT",1785,1869,975,-810
BANC,"10/3/2021 1 p.m. PDT",1856,2014,1047,-809
BANC,"10/3/2021 2 p.m. PDT",1993,2172,1147,-846
BANC,"10/3/2021 3 p.m. PDT",2141,2352,1166,-975
BANC,"10/3/2021 4 p.m. PDT",2291,2538,1335,-956
BANC,"10/3/2021 5 p.m. PDT",2453,2684,1534,-919
BANC,"10/3/2021 6 p.m. PDT",2508,2755,1745,-763
BANC,"10/3/2021 7 p.m. PDT",2461,2713,1830,-631
BANC,"10/3/2021 8 p.m. PDT",2402,2643,1837,-565
BANC,"10/3/2021 9 p.m. PDT",2242,2463,1737,-505
BANC,"10/3/2021 10 p.m. PDT",2082,2263,1393,-689
BANC,"10/3/2021 11 p.m. PDT",1890,2024,1380,-510
BANC,"10/4/2021 12 a.m. PDT",1711,1818,1175,-536
BANC,"10/4/2021 1 a.m. PDT",1601,1603,921,-680
BANC,"10/4/2021 2 a.m. PDT",1525,1529,846,-679
BANC,"10/4/2021 3 a.m. PDT",1471,1483,880,-591
BANC,"10/4/2021 4 a.m. PDT",1457,1458,858,-599
BANC,"10/4/2021 5 a.m. PDT",1494,1478,993,-501
BANC,"10/4/2021 6 a.m. PDT",1564,1557,1024,-540
BANC,"10/4/2021 7 a.m. PDT",1720,1696,1152,-568
BANC,"10/4/2021 8 a.m. PDT",1777,1765,1327,-450
BANC,"10/4/2021 9 a.m. PDT",1829,1822,1351,-478
BANC,"10/4/2021 10 a.m. PDT",1879,1886,1413,-466
BANC,"10/4/2021 11 a.m. PDT",1945,1971,1430,-515
BANC,"10/4/2021 12 p.m. PDT",1997,2070,1513,-484
BANC,"10/4/2021 1 p.m. PDT",2107,2206,1564,-543
BANC,"10/4/2021 2 p.m. PDT",2227,2369,1614,-613
BANC,"10/4/2021 3 p.m. PDT",2370,2545,1632,-738
BANC,"10/4/2021 4 p.m. PDT",2533,2702,1663,-870
BANC,"10/4/2021 5 p.m. PDT",2670,2825,1781,-889
BANC,"10/4/2021 6 p.m. PDT",2692,2858,1887,-805
BANC,"10/4/2021 7 p.m. PDT",2595,2782,1842,-753
BANC,"10/4/2021 8 p.m. PDT",2489,2677,1823,-666
BANC,"10/4/2021 9 p.m. PDT",2343,2486,1830,-513
BANC,"10/4/2021 10 p.m. PDT",2162,2268,1506,-656
BANC,"10/4/2021 11 p.m. PDT",1960,2029,1377,-583
BANC,"10/5/2021 12 a.m. PDT",1782,1810,1331,-451
BANC,"10/5/2021 1 a.m. PDT",1651,1623,1184,-467
BANC,"10/5/2021 2 a.m. PDT",1565,1546,1181,-384
BANC,"10/5/2021 3 a.m. PDT",1507,1494,1179,-328
BANC,"10/5/2021 4 a.m. PDT",1485,1467,1129,-356
BANC,"10/5/2021 5 a.m. PDT",1500,1482,1113,-387
BANC,"10/5/2021 6 a.m. PDT",1583,1564,1238,-345
BANC,"10/5/2021 7 a.m. PDT",1733,1706,1277,-456
BANC,"10/5/2021 8 a.m. PDT",1804,1782,1256,-548
BANC,"10/5/2021 9 a.m. PDT",1843,1816,1308,-535
BANC,"10/5/2021 10 a.m. PDT",1886,1864,1292,-594
BANC,"10/5/2021 11 a.m. PDT",1928,1911,1375,-553
BANC,"10/5/2021 12 p.m. PDT",1976,1969,1531,-445
BANC,"10/5/2021 1 p.m. PDT",2040,2037,1419,-621
BANC,"10/5/2021 2 p.m. PDT",2120,2125,1388,-732
BANC,"10/5/2021 3 p.m. PDT",2222,2230,1419,-802
BANC,"10/5/2021 4 p.m. PDT",2283,2337,1482,-801
BANC,"10/5/2021 5 p.m. PDT",2368,2416,1530,-837
BANC,"10/5/2021 6 p.m. PDT",2347,2406,1676,-671
BANC,"10/5/2021 7 p.m. PDT",2291,2373,1825,-466
BANC,"10/5/2021 8 p.m. PDT",2265,2319,1683,-582
BANC,"10/5/2021 9 p.m. PDT",2155,2186,1455,-700
BANC,"10/5/2021 10 p.m. PDT",2025,2025,1412,-613
BANC,"10/5/2021 11 p.m. PDT",1855,1832,1276,-579
BANC,"10/6/2021 12 a.m. PDT",1714,1662,1176,-538
BANC,"10/6/2021 1 a.m. PDT",1608,1560,1053,-556
BANC,"10/6/2021 2 a.m. PDT",1532,1501,842,-689
BANC,"10/6/2021 3 a.m. PDT",1483,1457,831,-653
BANC,"10/6/2021 4 a.m. PDT",1466,1439,817,-648
BANC,"10/6/2021 5 a.m. PDT",1493,1459,873,-620
BANC,"10/6/2021 6 a.m. PDT",1570,1542,936,-635
BANC,"10/6/2021 7 a.m. PDT",1714,1689,1156,-557
BANC,"10/6/2021 8 a.m. PDT",1791,1773,1295,-496
BANC,"10/6/2021 9 a.m. PDT",1836,1807,1083,-753
BANC,"10/6/2021 10 a.m. PDT",1865,1838,1100,-765
BANC,"10/6/2021 11 a.m. PDT",1897,1867,1180,-717
BANC,"10/6/2021 12 p.m. PDT",1927,1891,1181,-747
BANC,"10/6/2021 1 p.m. PDT",1962,1921,1328,-633
BANC,"10/6/2021 2 p.m. PDT",2021,1940,1401,-620
BANC,"10/6/2021 3 p.m. PDT",2065,1985,1313,-752
BANC,"10/6/2021 4 p.m. PDT",2121,2020,1296,-825
BANC,"10/6/2021 5 p.m. PDT",2109,2067,1322,-787
BANC,"10/6/2021 6 p.m. PDT",2079,2045,1583,-496
BANC,"10/6/2021 7 p.m. PDT",2070,2059,1574,-496
BANC,"10/6/2021 8 p.m. PDT",2068,2063,1657,-411
BANC,"10/6/2021 9 p.m. PDT",2003,1982,1645,-358
BANC,"10/6/2021 10 p.m. PDT",1896,1864,1519,-377
BANC,"10/6/2021 11 p.m. PDT",1768,1728,1533,-235
BANC,"10/7/2021 12 a.m. PDT",1626,1598,1311,-315
BANC,"10/7/2021 1 a.m. PDT",1534,1510,1232,-302
BANC,"10/7/2021 2 a.m. PDT",1474,1444,1263,-211
BANC,"10/7/2021 3 a.m. PDT",1432,1413,1263,-169
BANC,"10/7/2021 4 a.m. PDT",1416,1399,1265,-151
BANC,"10/7/2021 5 a.m. PDT",1445,1427,1336,-109
BANC,"10/7/2021 6 a.m. PDT",1536,1520,1367,-169
BANC,"10/7/2021 7 a.m. PDT",1684,1677,1431,-253
BANC,"10/7/2021 8 a.m. PDT",1781,1773,1507,-274
BANC,"10/7/2021 9 a.m. PDT",1800,1800,1418,-382
BANC,"10/7/2021 10 a.m. PDT",1819,1819,1470,-349
BANC,"10/7/2021 11 a.m. PDT",1821,1837,1586,-235
BANC,"10/7/2021 12 p.m. PDT",1857,1855,1469,-388
BANC,"10/7/2021 1 p.m. PDT",1869,1866,1471,-398
BANC,"10/7/2021 2 p.m. PDT",1883,1870,1457,-426
BANC,"10/7/2021 3 p.m. PDT",1937,1879,1425,-512
BANC,"10/7/2021 4 p.m. PDT",1969,1892,1324,-645
BANC,"10/7/2021 5 p.m. PDT",1973,1916,1450,-523
BANC,"10/7/2021 6 p.m. PDT",1963,1914,1696,-267
BANC,"10/7/2021 7 p.m. PDT",1977,1969,1888,-89
BANC,"10/7/2021 8 p.m. PDT",2006,2002,1754,-252
BANC,"10/7/2021 9 p.m. PDT",1928,1929,1614,-314
BANC,"10/7/2021 10 p.m. PDT",1839,1833,1370,-469
BANC,"10/7/2021 11 p.m. PDT",1714,1699,1276,-438
BANC,"10/8/2021 12 a.m. PDT",1594,1581,1274,-320
BANC,"10/8/2021 1 a.m. PDT",1517,1506,1336,-181
BANC,"10/8/2021 2 a.m. PDT",1457,1445,1270,-187
BANC,"10/8/2021 3 a.m. PDT",1428,1413,1264,-164
BANC,"10/8/2021 4 a.m. PDT",1405,1401,1268,-137
BANC,"10/8/2021 5 a.m. PDT",1438,1428,1324,-114
BANC,"10/8/2021 6 a.m. PDT",1533,1517,1316,-217
BANC,"10/8/2021 7 a.m. PDT",1666,1662,1256,-409
BANC,"10/8/2021 8 a.m. PDT",1745,1758,1379,-367
BANC,"10/8/2021 9 a.m. PDT",1770,1792,1546,-224
BANC,"10/8/2021 10 a.m. PDT",1812,1811,1462,-350
BANC,"10/8/2021 11 a.m. PDT",1813,1825,1529,-284
BANC,"10/8/2021 12 p.m. PDT",1801,1832,1430,-371
BANC,"10/8/2021 1 p.m. PDT",1782,1830,1532,-250
BANC,"10/8/2021 2 p.m. PDT",1770,1831,1547,-223
BANC,"10/8/2021 3 p.m. PDT",1764,1838,1548,-216
BANC,"10/8/2021 4 p.m. PDT",1803,1843,1590,-213
BANC,"10/8/2021 5 p.m. PDT",1819,1862,1553,-266
