"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"1/1/2021 12 a.m. PST",1706,1693,1322,-390
BANC,"1/1/2021 1 a.m. PST",1642,1601,1292,-348
BANC,"1/1/2021 2 a.m. PST",1585,1543,1104,-484
BANC,"1/1/2021 3 a.m. PST",1545,1512,1078,-469
BANC,"1/1/2021 4 a.m. PST",1531,1493,1184,-347
BANC,"1/1/2021 5 a.m. PST",1548,1514,1069,-478
BANC,"1/1/2021 6 a.m. PST",1603,1555,1163,-444
BANC,"1/1/2021 7 a.m. PST",1679,1617,1348,-333
BANC,"1/1/2021 8 a.m. PST",1713,1665,1262,-457
BANC,"1/1/2021 9 a.m. PST",1720,1704,895,-826
BANC,"1/1/2021 10 a.m. PST",1732,1721,940,-794
BANC,"1/1/2021 11 a.m. PST",1722,1721,992,-729
BANC,"1/1/2021 12 p.m. PST",1744,1714,985,-758
BANC,"1/1/2021 1 p.m. PST",1708,1691,1010,-699
BANC,"1/1/2021 2 p.m. PST",1677,1679,947,-732
BANC,"1/1/2021 3 p.m. PST",1709,1679,985,-725
BANC,"1/1/2021 4 p.m. PST",1718,1699,1116,-602
BANC,"1/1/2021 5 p.m. PST",1811,1794,1293,-521
BANC,"1/1/2021 6 p.m. PST",2008,1999,1995,-13
BANC,"1/1/2021 7 p.m. PST",2008,2017,1896,-113
BANC,"1/1/2021 8 p.m. PST",1984,1985,1680,-305
BANC,"1/1/2021 9 p.m. PST",1944,1936,1580,-367
BANC,"1/1/2021 10 p.m. PST",1874,1856,1555,-322
BANC,"1/1/2021 11 p.m. PST",1755,1748,1330,-426
BANC,"1/2/2021 12 a.m. PST",1653,1639,1147,-509
BANC,"1/2/2021 1 a.m. PST",1573,1528,1014,-564
BANC,"1/2/2021 2 a.m. PST",1511,1465,1006,-507
BANC,"1/2/2021 3 a.m. PST",1476,1440,997,-480
BANC,"1/2/2021 4 a.m. PST",1456,1423,988,-470
BANC,"1/2/2021 5 a.m. PST",1472,1445,972,-504
BANC,"1/2/2021 6 a.m. PST",1518,1488,1007,-514
BANC,"1/2/2021 7 a.m. PST",1591,1562,1168,-424
BANC,"1/2/2021 8 a.m. PST",1655,1647,1069,-588
BANC,"1/2/2021 9 a.m. PST",1711,1726,958,-752
BANC,"1/2/2021 10 a.m. PST",1779,1770,926,-851
BANC,"1/2/2021 11 a.m. PST",1820,1780,942,-872
BANC,"1/2/2021 12 p.m. PST",1837,1771,956,-888
BANC,"1/2/2021 1 p.m. PST",1856,1747,948,-906
BANC,"1/2/2021 2 p.m. PST",1818,1723,938,-884
BANC,"1/2/2021 3 p.m. PST",1818,1710,1051,-766
BANC,"1/2/2021 4 p.m. PST",1844,1715,1179,-665
BANC,"1/2/2021 5 p.m. PST",1928,1790,1532,-399
BANC,"1/2/2021 6 p.m. PST",2063,1954,1857,-206
BANC,"1/2/2021 7 p.m. PST",2041,1949,1898,-144
BANC,"1/2/2021 8 p.m. PST",1999,1908,1676,-323
BANC,"1/2/2021 9 p.m. PST",1952,1871,1572,-379
BANC,"1/2/2021 10 p.m. PST",1870,1799,1334,-538
BANC,"1/2/2021 11 p.m. PST",1750,1709,1167,-584
BANC,"1/3/2021 12 a.m. PST",1648,1608,1120,-525
BANC,"1/3/2021 1 a.m. PST",1566,1544,1074,-491
BANC,"1/3/2021 2 a.m. PST",1499,1478,1045,-454
BANC,"1/3/2021 3 a.m. PST",1462,1450,1010,-451
BANC,"1/3/2021 4 a.m. PST",1448,1435,997,-456
BANC,"1/3/2021 5 a.m. PST",1463,1450,1000,-461
BANC,"1/3/2021 6 a.m. PST",1512,1487,1037,-475
BANC,"1/3/2021 7 a.m. PST",1581,1567,1044,-535
BANC,"1/3/2021 8 a.m. PST",1647,1639,995,-650
BANC,"1/3/2021 9 a.m. PST",1673,1692,864,-812
BANC,"1/3/2021 10 a.m. PST",1724,1721,912,-808
BANC,"1/3/2021 11 a.m. PST",1735,1716,985,-753
BANC,"1/3/2021 12 p.m. PST",1746,1701,993,-754
BANC,"1/3/2021 1 p.m. PST",1729,1679,1058,-667
BANC,"1/3/2021 2 p.m. PST",1719,1667,985,-738
BANC,"1/3/2021 3 p.m. PST",1721,1663,948,-766
BANC,"1/3/2021 4 p.m. PST",1754,1686,1062,-699
BANC,"1/3/2021 5 p.m. PST",1855,1773,1293,-559
BANC,"1/3/2021 6 p.m. PST",2024,1951,1832,-200
BANC,"1/3/2021 7 p.m. PST",2031,1972,1833,-203
BANC,"1/3/2021 8 p.m. PST",1982,1944,1569,-421
BANC,"1/3/2021 9 p.m. PST",1929,1903,1502,-438
BANC,"1/3/2021 10 p.m. PST",1852,1810,1440,-420
BANC,"1/3/2021 11 p.m. PST",1714,1692,1293,-429
BANC,"1/4/2021 12 a.m. PST",1599,1571,1116,-486
BANC,"1/4/2021 1 a.m. PST",1517,1518,1240,-275
BANC,"1/4/2021 2 a.m. PST",1474,1466,1114,-366
BANC,"1/4/2021 3 a.m. PST",1439,1430,1026,-418
BANC,"1/4/2021 4 a.m. PST",1453,1437,1004,-447
BANC,"1/4/2021 5 a.m. PST",1495,1486,1058,-437
BANC,"1/4/2021 6 a.m. PST",1595,1601,1228,-370
BANC,"1/4/2021 7 a.m. PST",1770,1781,1488,-280
BANC,"1/4/2021 8 a.m. PST",1897,1896,1524,-374
BANC,"1/4/2021 9 a.m. PST",1969,1905,1260,-711
BANC,"1/4/2021 10 a.m. PST",2019,1924,1106,-917
BANC,"1/4/2021 11 a.m. PST",2061,1928,1166,-898
BANC,"1/4/2021 12 p.m. PST",2113,1931,1131,-986
BANC,"1/4/2021 1 p.m. PST",2102,1921,1151,-946
BANC,"1/4/2021 2 p.m. PST",2017,1906,1118,-897
BANC,"1/4/2021 3 p.m. PST",1974,1893,1118,-849
BANC,"1/4/2021 4 p.m. PST",1927,1918,1128,-802
BANC,"1/4/2021 5 p.m. PST",1996,1997,1327,-665
BANC,"1/4/2021 6 p.m. PST",2153,2162,1804,-351
BANC,"1/4/2021 7 p.m. PST",2155,2155,1711,-451
BANC,"1/4/2021 8 p.m. PST",2110,2099,1518,-597
BANC,"1/4/2021 9 p.m. PST",2049,2042,1377,-675
BANC,"1/4/2021 10 p.m. PST",1956,1941,1276,-685
BANC,"1/4/2021 11 p.m. PST",1816,1803,1263,-558
BANC,"1/5/2021 12 a.m. PST",1699,1671,1099,-606
BANC,"1/5/2021 1 a.m. PST",1636,1595,904,-728
BANC,"1/5/2021 2 a.m. PST",1585,1551,868,-720
BANC,"1/5/2021 3 a.m. PST",1565,1534,855,-709
BANC,"1/5/2021 4 a.m. PST",1571,1543,797,-771
BANC,"1/5/2021 5 a.m. PST",1623,1601,848,-773
BANC,"1/5/2021 6 a.m. PST",1745,1719,889,-856
BANC,"1/5/2021 7 a.m. PST",1919,1900,1298,-620
BANC,"1/5/2021 8 a.m. PST",2051,2012,1256,-800
BANC,"1/5/2021 9 a.m. PST",2106,1999,1001,-1098
BANC,"1/5/2021 10 a.m. PST",2087,1985,1021,-1066
BANC,"1/5/2021 11 a.m. PST",2038,1949,996,-1041
BANC,"1/5/2021 12 p.m. PST",2007,1921,975,-1030
BANC,"1/5/2021 1 p.m. PST",1899,1891,958,-938
BANC,"1/5/2021 2 p.m. PST",1854,1862,1007,-840
BANC,"1/5/2021 3 p.m. PST",1822,1845,1089,-724
BANC,"1/5/2021 4 p.m. PST",1845,1876,1191,-655
BANC,"1/5/2021 5 p.m. PST",1922,1961,1388,-557
BANC,"1/5/2021 6 p.m. PST",2116,2152,1892,-224
BANC,"1/5/2021 7 p.m. PST",2134,2154,1875,-263
BANC,"1/5/2021 8 p.m. PST",2102,2110,1542,-562
BANC,"1/5/2021 9 p.m. PST",2057,2058,1503,-558
