"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
BANC,"1/1/2022 12 a.m. PST",1856,1831,1427,-429
BANC,"1/1/2022 1 a.m. PST",1786,1740,1463,-323
BANC,"1/1/2022 2 a.m. PST",1729,1683,1365,-364
BANC,"1/1/2022 3 a.m. PST",1699,1639,1441,-258
BANC,"1/1/2022 4 a.m. PST",1693,1620,1423,-271
BANC,"1/1/2022 5 a.m. PST",1709,1630,1441,-267
BANC,"1/1/2022 6 a.m. PST",1750,1669,1553,-197
BANC,"1/1/2022 7 a.m. PST",1820,1721,1671,-149
BANC,"1/1/2022 8 a.m. PST",1879,1781,1553,-326
BANC,"1/1/2022 9 a.m. PST",1895,1823,1269,-626
BANC,"1/1/2022 10 a.m. PST",1870,1858,1330,-539
BANC,"1/1/2022 11 a.m. PST",1838,1868,1364,-475
BANC,"1/1/2022 12 p.m. PST",1786,1862,1348,-438
BANC,"1/1/2022 1 p.m. PST",1756,1835,1337,-419
BANC,"1/1/2022 2 p.m. PST",1726,1813,1295,-431
BANC,"1/1/2022 3 p.m. PST",1725,1807,1278,-447
BANC,"1/1/2022 4 p.m. PST",1761,1833,1283,-478
BANC,"1/1/2022 5 p.m. PST",1891,1927,1835,-56
BANC,"1/1/2022 6 p.m. PST",2091,2103,2047,-44
BANC,"1/1/2022 7 p.m. PST",2121,2125,2047,-74
BANC,"1/1/2022 8 p.m. PST",2112,2094,2010,-102
BANC,"1/1/2022 9 p.m. PST",2095,2039,1930,-165
BANC,"1/1/2022 10 p.m. PST",2043,1967,1857,-186
BANC,"1/1/2022 11 p.m. PST",1954,1853,1839,-115
BANC,"1/2/2022 12 a.m. PST",1855,1750,1614,-241
BANC,"1/2/2022 1 a.m. PST",1782,1726,1605,-176
BANC,"1/2/2022 2 a.m. PST",1739,1680,1610,-129
BANC,"1/2/2022 3 a.m. PST",1720,1655,1564,-156
BANC,"1/2/2022 4 a.m. PST",1710,1647,1469,-242
BANC,"1/2/2022 5 a.m. PST",1748,1660,1517,-230
BANC,"1/2/2022 6 a.m. PST",1795,1711,1477,-318
BANC,"1/2/2022 7 a.m. PST",1879,1784,1682,-197
BANC,"1/2/2022 8 a.m. PST",1956,1854,1639,-318
BANC,"1/2/2022 9 a.m. PST",1972,1896,1344,-628
BANC,"1/2/2022 10 a.m. PST",1952,1905,1536,-416
BANC,"1/2/2022 11 a.m. PST",1919,1889,1583,-336
BANC,"1/2/2022 12 p.m. PST",1863,1853,1555,-308
BANC,"1/2/2022 1 p.m. PST",1807,1823,1459,-347
BANC,"1/2/2022 2 p.m. PST",1770,1804,1489,-282
