"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"4/1/2018 12 a.m. CDT",33723,34069,33563,-160
ERCO,"4/1/2018 1 a.m. CDT",31468,31564,31412,-56
ERCO,"4/1/2018 2 a.m. CDT",29765,29974,29556,-209
ERCO,"4/1/2018 3 a.m. CDT",28621,28614,28407,-213
ERCO,"4/1/2018 4 a.m. CDT",27860,27853,27648,-212
ERCO,"4/1/2018 5 a.m. CDT",27510,27743,27360,-150
ERCO,"4/1/2018 6 a.m. CDT",27596,28039,27447,-149
ERCO,"4/1/2018 7 a.m. CDT",28310,28747,28164,-146
ERCO,"4/1/2018 8 a.m. CDT",29038,29852,29040,2
ERCO,"4/1/2018 9 a.m. CDT",30545,30871,30551,5
ERCO,"4/1/2018 10 a.m. CDT",32481,32892,32487,5
ERCO,"4/1/2018 11 a.m. CDT",33978,34273,33983,5
ERCO,"4/1/2018 12 p.m. CDT",35143,35580,35147,3
ERCO,"4/1/2018 1 p.m. CDT",36043,36332,35863,-180
ERCO,"4/1/2018 2 p.m. CDT",36875,37363,36743,-132
ERCO,"4/1/2018 3 p.m. CDT",37593,38229,37484,-109
ERCO,"4/1/2018 4 p.m. CDT",38193,38807,38082,-111
ERCO,"4/1/2018 5 p.m. CDT",38633,39595,38491,-142
ERCO,"4/1/2018 6 p.m. CDT",38701,40035,38559,-142
ERCO,"4/1/2018 7 p.m. CDT",38401,39456,38354,-46
ERCO,"4/1/2018 8 p.m. CDT",38453,38562,38727,274
ERCO,"4/1/2018 9 p.m. CDT",39347,39029,40001,653
ERCO,"4/1/2018 10 p.m. CDT",38479,38197,39067,587
ERCO,"4/1/2018 11 p.m. CDT",36217,35936,36689,471
ERCO,"4/2/2018 12 a.m. CDT",33422,33651,33536,113
ERCO,"4/2/2018 1 a.m. CDT",31309,31434,31550,240
ERCO,"4/2/2018 2 a.m. CDT",30155,30149,30164,8
ERCO,"4/2/2018 3 a.m. CDT",29494,29037,29499,4
ERCO,"4/2/2018 4 a.m. CDT",29381,28918,29385,4
ERCO,"4/2/2018 5 a.m. CDT",30079,29532,30081,2
ERCO,"4/2/2018 6 a.m. CDT",32135,31207,31933,-202
ERCO,"4/2/2018 7 a.m. CDT",35640,34477,34969,-671
ERCO,"4/2/2018 8 a.m. CDT",37329,36465,36643,-686
ERCO,"4/2/2018 9 a.m. CDT",37817,36573,37133,-684
ERCO,"4/2/2018 10 a.m. CDT",38750,37636,38589,-161
ERCO,"4/2/2018 11 a.m. CDT",40030,38403,39769,-261
ERCO,"4/2/2018 12 p.m. CDT",40947,39574,41091,143
ERCO,"4/2/2018 1 p.m. CDT",41914,40303,41776,-139
ERCO,"4/2/2018 2 p.m. CDT",42797,41277,42914,117
ERCO,"4/2/2018 3 p.m. CDT",43628,42022,43383,-246
ERCO,"4/2/2018 4 p.m. CDT",44069,42641,43915,-153
ERCO,"4/2/2018 5 p.m. CDT",44342,43046,44316,-26
ERCO,"4/2/2018 6 p.m. CDT",44171,42915,44257,86
ERCO,"4/2/2018 7 p.m. CDT",43292,42206,43416,124
ERCO,"4/2/2018 8 p.m. CDT",42916,41897,43004,87
ERCO,"4/2/2018 9 p.m. CDT",43463,42189,43578,115
ERCO,"4/2/2018 10 p.m. CDT",41973,41425,42169,196
ERCO,"4/2/2018 11 p.m. CDT",39176,38711,39442,265
ERCO,"4/3/2018 12 a.m. CDT",35985,35805,36311,325
ERCO,"4/3/2018 1 a.m. CDT",33676,33083,34105,427
ERCO,"4/3/2018 2 a.m. CDT",32238,31744,32734,494
ERCO,"4/3/2018 3 a.m. CDT",31252,31044,31733,480
ERCO,"4/3/2018 4 a.m. CDT",30850,30433,31350,498
ERCO,"4/3/2018 5 a.m. CDT",31224,30553,31652,426
ERCO,"4/3/2018 6 a.m. CDT",33038,32167,33462,423
ERCO,"4/3/2018 7 a.m. CDT",36400,35616,36717,316
ERCO,"4/3/2018 8 a.m. CDT",37674,37023,38085,410
ERCO,"4/3/2018 9 a.m. CDT",37860,37216,38220,361
ERCO,"4/3/2018 10 a.m. CDT",39091,38138,39420,448
ERCO,"4/3/2018 11 a.m. CDT",40336,39451,40666,323
ERCO,"4/3/2018 12 p.m. CDT",41698,40583,41945,249
ERCO,"4/3/2018 1 p.m. CDT",42518,41613,42688,169
ERCO,"4/3/2018 2 p.m. CDT",43427,42781,43651,223
ERCO,"4/3/2018 3 p.m. CDT",43766,43623,43853,86
ERCO,"4/3/2018 4 p.m. CDT",43850,44085,43999,147
ERCO,"4/3/2018 5 p.m. CDT",44039,44251,43933,-106
ERCO,"4/3/2018 6 p.m. CDT",43662,43773,43803,141
ERCO,"4/3/2018 7 p.m. CDT",42801,42969,42937,134
ERCO,"4/3/2018 8 p.m. CDT",42239,41803,42512,272
ERCO,"4/3/2018 9 p.m. CDT",42652,41812,42923,270
ERCO,"4/3/2018 10 p.m. CDT",40880,40391,41387,505
ERCO,"4/3/2018 11 p.m. CDT",37730,37528,38349,617
ERCO,"4/4/2018 12 a.m. CDT",34080,34425,34724,642
ERCO,"4/4/2018 1 a.m. CDT",31543,31437,32028,484
ERCO,"4/4/2018 2 a.m. CDT",30093,29895,30516,422
ERCO,"4/4/2018 3 a.m. CDT",29186,29334,29611,423
ERCO,"4/4/2018 4 a.m. CDT",28853,28723,29278,423
ERCO,"4/4/2018 5 a.m. CDT",29283,30164,29708,423
ERCO,"4/4/2018 6 a.m. CDT",31443,32322,31905,460
ERCO,"4/4/2018 7 a.m. CDT",35328,36019,36125,795
ERCO,"4/4/2018 8 a.m. CDT",36893,37422,37829,934
ERCO,"4/4/2018 9 a.m. CDT",36614,37409,37495,878
ERCO,"4/4/2018 10 a.m. CDT",36464,37343,37297,831
ERCO,"4/4/2018 11 a.m. CDT",36417,37288,37298,880
ERCO,"4/4/2018 12 p.m. CDT",36100,36600,36979,877
ERCO,"4/4/2018 1 p.m. CDT",35760,36576,36409,647
ERCO,"4/4/2018 2 p.m. CDT",35638,35984,36147,508
ERCO,"4/4/2018 3 p.m. CDT",35598,36346,35983,384
ERCO,"4/4/2018 4 p.m. CDT",35646,36010,35835,190
ERCO,"4/4/2018 5 p.m. CDT",36032,36368,36141,108
ERCO,"4/4/2018 6 p.m. CDT",36225,36595,36407,180
ERCO,"4/4/2018 7 p.m. CDT",36200,36713,36300,99
ERCO,"4/4/2018 8 p.m. CDT",36333,37667,36449,115
ERCO,"4/4/2018 9 p.m. CDT",37635,38471,37779,143
ERCO,"4/4/2018 10 p.m. CDT",36897,37742,37309,411
ERCO,"4/4/2018 11 p.m. CDT",34567,35669,34990,421
ERCO,"4/5/2018 12 a.m. CDT",31946,33502,32363,416
ERCO,"4/5/2018 1 a.m. CDT",30184,30452,30128,-57
