"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"7/1/2015 1 a.m. CDT",37456,39708,37462,6
ERCO,"7/1/2015 2 a.m. CDT",35119,37338,35124,4
ERCO,"7/1/2015 3 a.m. CDT",33638,35697,33642,5
ERCO,"7/1/2015 4 a.m. CDT",32798,34772,32805,6
ERCO,"7/1/2015 5 a.m. CDT",32805,34773,32812,7
ERCO,"7/1/2015 6 a.m. CDT",34121,36046,34128,7
ERCO,"7/1/2015 7 a.m. CDT",35894,37819,35895,1
ERCO,"7/1/2015 8 a.m. CDT",37403,39136,37406,3
ERCO,"7/1/2015 9 a.m. CDT",39964,41521,40209,245
ERCO,"7/1/2015 10 a.m. CDT",43192,44414,43437,245
ERCO,"7/1/2015 11 a.m. CDT",46593,47943,46848,255
ERCO,"7/1/2015 12 p.m. CDT",48829,51438,49083,253
ERCO,"7/1/2015 1 p.m. CDT",50231,54203,50464,232
ERCO,"7/1/2015 2 p.m. CDT",51645,56880,52029,383
ERCO,"7/1/2015 3 p.m. CDT",52622,58753,53010,387
ERCO,"7/1/2015 4 p.m. CDT",53774,60003,54196,421
ERCO,"7/1/2015 5 p.m. CDT",53665,60513,54085,420
ERCO,"7/1/2015 6 p.m. CDT",52925,59714,53215,290
ERCO,"7/1/2015 7 p.m. CDT",51756,58359,52041,284
ERCO,"7/1/2015 8 p.m. CDT",50171,56030,50404,233
ERCO,"7/1/2015 9 p.m. CDT",48655,54174,48887,231
ERCO,"7/1/2015 10 p.m. CDT",47667,52900,47899,231
ERCO,"7/1/2015 11 p.m. CDT",44629,49820,44872,243
ERCO,"7/2/2015 12 a.m. CDT",40754,45902,40999,245
ERCO,"7/2/2015 1 a.m. CDT",37547,39000,37555,7
ERCO,"7/2/2015 2 a.m. CDT",35199,36959,35205,6
ERCO,"7/2/2015 3 a.m. CDT",33637,35548,33702,64
ERCO,"7/2/2015 4 a.m. CDT",32759,34790,32883,123
ERCO,"7/2/2015 5 a.m. CDT",32536,34749,32844,308
ERCO,"7/2/2015 6 a.m. CDT",33527,35896,33556,28
ERCO,"7/2/2015 7 a.m. CDT",35196,37837,35240,43
ERCO,"7/2/2015 8 a.m. CDT",36637,39197,36697,60
ERCO,"7/2/2015 9 a.m. CDT",39221,41502,39521,300
ERCO,"7/2/2015 10 a.m. CDT",42398,44365,42700,302
ERCO,"7/2/2015 11 a.m. CDT",45675,47458,45975,300
ERCO,"7/2/2015 12 p.m. CDT",48667,50287,48985,317
ERCO,"7/2/2015 1 p.m. CDT",51260,52871,51529,268
ERCO,"7/2/2015 2 p.m. CDT",53719,55398,54002,283
ERCO,"7/2/2015 3 p.m. CDT",55525,57358,55640,115
ERCO,"7/2/2015 4 p.m. CDT",56836,58987,56874,38
ERCO,"7/2/2015 5 p.m. CDT",57505,59519,57540,35
ERCO,"7/2/2015 6 p.m. CDT",56807,58634,56845,38
ERCO,"7/2/2015 7 p.m. CDT",55044,57311,55287,243
ERCO,"7/2/2015 8 p.m. CDT",52776,55059,53008,231
ERCO,"7/2/2015 9 p.m. CDT",50986,53500,51218,231
ERCO,"7/2/2015 10 p.m. CDT",49845,52166,50078,232
ERCO,"7/2/2015 11 p.m. CDT",46817,49016,47060,243
ERCO,"7/3/2015 12 a.m. CDT",43307,45108,43555,247
ERCO,"7/3/2015 1 a.m. CDT",40173,39971,40177,3
ERCO,"7/3/2015 2 a.m. CDT",37954,37656,37958,3
ERCO,"7/3/2015 3 a.m. CDT",36353,35803,36358,4
ERCO,"7/3/2015 4 a.m. CDT",35346,34716,35352,6
ERCO,"7/3/2015 5 a.m. CDT",34981,34080,34987,6
ERCO,"7/3/2015 6 a.m. CDT",35402,34180,35410,7
ERCO,"7/3/2015 7 a.m. CDT",35919,34567,35923,4
ERCO,"7/3/2015 8 a.m. CDT",36447,34875,36455,7
ERCO,"7/3/2015 9 a.m. CDT",38820,36886,39118,298
ERCO,"7/3/2015 10 a.m. CDT",42009,40782,42308,299
ERCO,"7/3/2015 11 a.m. CDT",45201,45261,45498,297
ERCO,"7/3/2015 12 p.m. CDT",48116,49239,48390,274
ERCO,"7/3/2015 1 p.m. CDT",50501,52794,50791,289
ERCO,"7/3/2015 2 p.m. CDT",52232,55171,52522,289
ERCO,"7/3/2015 3 p.m. CDT",53443,56631,53735,291
ERCO,"7/3/2015 4 p.m. CDT",54180,58416,54517,336
ERCO,"7/3/2015 5 p.m. CDT",54510,58829,54852,341
ERCO,"7/3/2015 6 p.m. CDT",54028,58231,54422,393
ERCO,"7/3/2015 7 p.m. CDT",52732,55959,52984,252
ERCO,"7/3/2015 8 p.m. CDT",50673,53211,50905,232
ERCO,"7/3/2015 9 p.m. CDT",49028,49840,49260,232
ERCO,"7/3/2015 10 p.m. CDT",47940,47344,48176,236
ERCO,"7/3/2015 11 p.m. CDT",45385,44970,45798,411
ERCO,"7/4/2015 12 a.m. CDT",42470,42789,42715,245
ERCO,"7/4/2015 1 a.m. CDT",39566,38709,39583,16
ERCO,"7/4/2015 2 a.m. CDT",37379,36527,37379,0
ERCO,"7/4/2015 3 a.m. CDT",35757,34948,35760,3
ERCO,"7/4/2015 4 a.m. CDT",34698,33997,34704,6
ERCO,"7/4/2015 5 a.m. CDT",34057,33449,34064,7
ERCO,"7/4/2015 6 a.m. CDT",33939,33533,33948,9
ERCO,"7/4/2015 7 a.m. CDT",33910,33859,33967,57
ERCO,"7/4/2015 8 a.m. CDT",34456,34470,34513,57
ERCO,"7/4/2015 9 a.m. CDT",37333,37385,37386,53
ERCO,"7/4/2015 10 a.m. CDT",41075,41155,41124,49
ERCO,"7/4/2015 11 a.m. CDT",45018,44914,45063,45
ERCO,"7/4/2015 12 p.m. CDT",48470,48502,48510,40
ERCO,"7/4/2015 1 p.m. CDT",51173,51210,51099,-75
ERCO,"7/4/2015 2 p.m. CDT",52980,53095,52781,-200
ERCO,"7/4/2015 3 p.m. CDT",54226,54659,54184,-42
ERCO,"7/4/2015 4 p.m. CDT",54755,55789,54405,-350
