"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"1/1/2020 12 a.m. EST",12056,12120,8774,-3282
ISNE,"1/1/2020 1 a.m. EST",11462,11350,8751,-2711
ISNE,"1/1/2020 2 a.m. EST",11025,11020,8397,-2628
ISNE,"1/1/2020 3 a.m. EST",10714,10710,8056,-2658
ISNE,"1/1/2020 4 a.m. EST",10830,10580,8047,-2783
ISNE,"1/1/2020 5 a.m. EST",10967,10680,8167,-2800
ISNE,"1/1/2020 6 a.m. EST",11282,11020,8217,-3065
ISNE,"1/1/2020 7 a.m. EST",11484,11500,8429,-3055
ISNE,"1/1/2020 8 a.m. EST",11821,11810,8405,-3416
ISNE,"1/1/2020 9 a.m. EST",12033,12040,8590,-3443
ISNE,"1/1/2020 10 a.m. EST",12139,12130,8759,-3380
ISNE,"1/1/2020 11 a.m. EST",12300,12250,9111,-3189
ISNE,"1/1/2020 12 p.m. EST",12533,12400,9345,-3188
ISNE,"1/1/2020 1 p.m. EST",12771,12470,9485,-3286
ISNE,"1/1/2020 2 p.m. EST",12888,12680,9904,-2984
ISNE,"1/1/2020 3 p.m. EST",13139,13020,10237,-2902
ISNE,"1/1/2020 4 p.m. EST",13667,13530,10811,-2856
ISNE,"1/1/2020 5 p.m. EST",14790,14650,11845,-2945
ISNE,"1/1/2020 6 p.m. EST",15793,15560,12738,-3055
ISNE,"1/1/2020 7 p.m. EST",15641,15370,12457,-3184
ISNE,"1/1/2020 8 p.m. EST",15190,15000,11928,-3262
ISNE,"1/1/2020 9 p.m. EST",14607,14510,11305,-3302
ISNE,"1/1/2020 10 p.m. EST",13777,13720,10602,-3175
ISNE,"1/1/2020 11 p.m. EST",12764,12740,9800,-2964
ISNE,"1/2/2020 12 a.m. EST",12083,11850,9289,-2794
ISNE,"1/2/2020 1 a.m. EST",11818,11230,8808,-3010
ISNE,"1/2/2020 2 a.m. EST",11712,10910,8594,-3118
ISNE,"1/2/2020 3 a.m. EST",11613,10790,8506,-3107
ISNE,"1/2/2020 4 a.m. EST",11921,10860,8664,-3257
ISNE,"1/2/2020 5 a.m. EST",12116,11220,9039,-3077
ISNE,"1/2/2020 6 a.m. EST",12822,12260,9660,-3162
ISNE,"1/2/2020 7 a.m. EST",13898,13890,10812,-3086
ISNE,"1/2/2020 8 a.m. EST",14900,14890,11482,-3418
ISNE,"1/2/2020 9 a.m. EST",14948,14690,11509,-3439
ISNE,"1/2/2020 10 a.m. EST",14677,14520,11180,-3497
ISNE,"1/2/2020 11 a.m. EST",14364,14110,10941,-3423
ISNE,"1/2/2020 12 p.m. EST",13921,13820,10518,-3403
ISNE,"1/2/2020 1 p.m. EST",13421,13640,10016,-3405
ISNE,"1/2/2020 2 p.m. EST",13395,13690,9969,-3426
ISNE,"1/2/2020 3 p.m. EST",13771,13850,10382,-3389
ISNE,"1/2/2020 4 p.m. EST",14433,14250,11127,-3306
ISNE,"1/2/2020 5 p.m. EST",15462,15480,12218,-3244
ISNE,"1/2/2020 6 p.m. EST",16344,16100,13543,-2801
ISNE,"1/2/2020 7 p.m. EST",16225,15960,13151,-3074
ISNE,"1/2/2020 8 p.m. EST",15739,15560,12626,-3113
ISNE,"1/2/2020 9 p.m. EST",15093,14960,11821,-3272
ISNE,"1/2/2020 10 p.m. EST",14126,14030,10821,-3305
ISNE,"1/2/2020 11 p.m. EST",12915,12870,9802,-3113
ISNE,"1/3/2020 12 a.m. EST",12319,11840,9198,-3121
ISNE,"1/3/2020 1 a.m. EST",11843,11160,8795,-3048
ISNE,"1/3/2020 2 a.m. EST",11461,10720,8510,-2951
ISNE,"1/3/2020 3 a.m. EST",11408,10540,8355,-3053
ISNE,"1/3/2020 4 a.m. EST",11484,10450,8457,-3027
ISNE,"1/3/2020 5 a.m. EST",11565,10760,8608,-2957
ISNE,"1/3/2020 6 a.m. EST",12405,11760,9592,-2813
ISNE,"1/3/2020 7 a.m. EST",13640,13330,10743,-2897
ISNE,"1/3/2020 8 a.m. EST",14184,14330,11088,-3096
ISNE,"1/3/2020 9 a.m. EST",14403,14570,11618,-2785
ISNE,"1/3/2020 10 a.m. EST",14503,14610,11782,-2721
ISNE,"1/3/2020 11 a.m. EST",14625,14710,11810,-2815
ISNE,"1/3/2020 12 p.m. EST",14500,14700,11655,-2845
ISNE,"1/3/2020 1 p.m. EST",14369,14570,11585,-2784
ISNE,"1/3/2020 2 p.m. EST",14406,14560,11656,-2750
ISNE,"1/3/2020 3 p.m. EST",14376,14520,11567,-2809
ISNE,"1/3/2020 4 p.m. EST",14449,14700,11423,-3026
ISNE,"1/3/2020 5 p.m. EST",15113,15420,11968,-3145
ISNE,"1/3/2020 6 p.m. EST",15615,15920,12721,-2894
ISNE,"1/3/2020 7 p.m. EST",15352,15570,12498,-2854
ISNE,"1/3/2020 8 p.m. EST",14828,14970,11917,-2911
ISNE,"1/3/2020 9 p.m. EST",14235,14340,11236,-2999
ISNE,"1/3/2020 10 p.m. EST",13473,13550,10482,-2991
ISNE,"1/3/2020 11 p.m. EST",12629,12590,9899,-2730
ISNE,"1/4/2020 12 a.m. EST",11813,11640,9252,-2561
ISNE,"1/4/2020 1 a.m. EST",11083,10910,8602,-2481
ISNE,"1/4/2020 2 a.m. EST",10891,10400,8293,-2598
ISNE,"1/4/2020 3 a.m. EST",10656,10150,8121,-2535
ISNE,"1/4/2020 4 a.m. EST",10563,10110,7936,-2627
ISNE,"1/4/2020 5 a.m. EST",10639,10260,8056,-2583
ISNE,"1/4/2020 6 a.m. EST",10730,10670,8049,-2681
ISNE,"1/4/2020 7 a.m. EST",11101,11340,8370,-2731
ISNE,"1/4/2020 8 a.m. EST",11838,12090,8918,-2920
ISNE,"1/4/2020 9 a.m. EST",12617,12830,9801,-2816
ISNE,"1/4/2020 10 a.m. EST",13317,13430,10326,-2991
ISNE,"1/4/2020 11 a.m. EST",13761,13760,10519,-3242
ISNE,"1/4/2020 12 p.m. EST",14023,13950,10719,-3304
ISNE,"1/4/2020 1 p.m. EST",14069,13920,10775,-3294
ISNE,"1/4/2020 2 p.m. EST",13999,13880,10735,-3264
ISNE,"1/4/2020 3 p.m. EST",13910,13730,10614,-3296
ISNE,"1/4/2020 4 p.m. EST",14001,13910,10867,-3134
ISNE,"1/4/2020 5 p.m. EST",14594,14760,11518,-3076
ISNE,"1/4/2020 6 p.m. EST",15020,15250,11950,-3070
ISNE,"1/4/2020 7 p.m. EST",14775,15000,11768,-3007
ISNE,"1/4/2020 8 p.m. EST",14267,14400,11240,-3027
ISNE,"1/4/2020 9 p.m. EST",13790,13850,10982,-2808
ISNE,"1/4/2020 10 p.m. EST",13145,13190,10265,-2880
ISNE,"1/4/2020 11 p.m. EST",12451,12390,9700,-2751
ISNE,"1/5/2020 12 a.m. EST",11646,11600,8960,-2686
ISNE,"1/5/2020 1 a.m. EST",11139,11020,8600,-2539
ISNE,"1/5/2020 2 a.m. EST",11134,10590,8436,-2698
ISNE,"1/5/2020 3 a.m. EST",11074,10410,8414,-2660
ISNE,"1/5/2020 4 a.m. EST",11010,10290,8168,-2842
ISNE,"1/5/2020 5 a.m. EST",11122,10450,8308,-2814
ISNE,"1/5/2020 6 a.m. EST",11406,10840,8501,-2905
ISNE,"1/5/2020 7 a.m. EST",11691,11430,8814,-2877
ISNE,"1/5/2020 8 a.m. EST",12292,12150,9151,-3141
ISNE,"1/5/2020 9 a.m. EST",12815,12800,9820,-2995
ISNE,"1/5/2020 10 a.m. EST",12720,12960,9700,-3020
ISNE,"1/5/2020 11 a.m. EST",12986,13020,10011,-2975
ISNE,"1/5/2020 12 p.m. EST",13205,13020,10190,-3015
ISNE,"1/5/2020 1 p.m. EST",13267,13040,10347,-2920
ISNE,"1/5/2020 2 p.m. EST",13027,13030,10153,-2874
ISNE,"1/5/2020 3 p.m. EST",13163,13190,10190,-2973
ISNE,"1/5/2020 4 p.m. EST",13858,13710,10927,-2931
ISNE,"1/5/2020 5 p.m. EST",15078,14940,12019,-3059
ISNE,"1/5/2020 6 p.m. EST",16173,15810,13268,-2905
ISNE,"1/5/2020 7 p.m. EST",16076,15800,13014,-3062
ISNE,"1/5/2020 8 p.m. EST",15629,15450,12433,-3196
ISNE,"1/5/2020 9 p.m. EST",15031,14950,11947,-3084
ISNE,"1/5/2020 10 p.m. EST",14166,14170,10830,-3336
ISNE,"1/5/2020 11 p.m. EST",13123,13220,9977,-3146
ISNE,"1/6/2020 12 a.m. EST",12384,12330,9368,-3016
ISNE,"1/6/2020 1 a.m. EST",12346,11680,9327,-3019
ISNE,"1/6/2020 2 a.m. EST",12118,11360,9040,-3078
ISNE,"1/6/2020 3 a.m. EST",12023,11260,8760,-3263
ISNE,"1/6/2020 4 a.m. EST",12054,11330,8862,-3192
ISNE,"1/6/2020 5 a.m. EST",12247,11770,9230,-3017
ISNE,"1/6/2020 6 a.m. EST",13010,12890,9872,-3138
ISNE,"1/6/2020 7 a.m. EST",14612,14660,11721,-2891
ISNE,"1/6/2020 8 a.m. EST",15621,15670,12729,-2892
ISNE,"1/6/2020 9 a.m. EST",15732,15660,12811,-2921
ISNE,"1/6/2020 10 a.m. EST",15572,15580,12664,-2908
ISNE,"1/6/2020 11 a.m. EST",15531,15460,12651,-2880
ISNE,"1/6/2020 12 p.m. EST",15684,15410,12749,-2935
ISNE,"1/6/2020 1 p.m. EST",15537,15260,12633,-2904
ISNE,"1/6/2020 2 p.m. EST",15308,15170,12167,-3141
ISNE,"1/6/2020 3 p.m. EST",15197,15210,12025,-3172
ISNE,"1/6/2020 4 p.m. EST",15355,15570,12457,-2898
ISNE,"1/6/2020 5 p.m. EST",16145,16510,13190,-2955
ISNE,"1/6/2020 6 p.m. EST",17046,17310,14090,-2956
ISNE,"1/6/2020 7 p.m. EST",16964,17040,14081,-2883
ISNE,"1/6/2020 8 p.m. EST",16523,16540,13576,-2947
ISNE,"1/6/2020 9 p.m. EST",15841,15890,12910,-2931
ISNE,"1/6/2020 10 p.m. EST",14845,14940,12038,-2807
ISNE,"1/6/2020 11 p.m. EST",13648,13690,10736,-2912
ISNE,"1/7/2020 12 a.m. EST",12799,12620,9567,-3232
