"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ISNE,"7/1/2015 1 a.m. EDT",12583,11810,11322,-1261
ISNE,"7/1/2015 2 a.m. EDT",12349,11190,11376,-973
ISNE,"7/1/2015 3 a.m. EDT",12445,10860,11305,-1140
ISNE,"7/1/2015 4 a.m. EDT",12385,10760,11303,-1082
ISNE,"7/1/2015 5 a.m. EDT",12387,11200,11460,-927
ISNE,"7/1/2015 6 a.m. EDT",12931,11830,11817,-1114
ISNE,"7/1/2015 7 a.m. EDT",13655,13200,12358,-1297
ISNE,"7/1/2015 8 a.m. EDT",14740,14640,13630,-1110
ISNE,"7/1/2015 9 a.m. EDT",15669,15530,14357,-1312
ISNE,"7/1/2015 10 a.m. EDT",16275,16160,14684,-1591
ISNE,"7/1/2015 11 a.m. EDT",16801,16750,15202,-1599
ISNE,"7/1/2015 12 p.m. EDT",17112,17160,15482,-1630
ISNE,"7/1/2015 1 p.m. EDT",17218,17450,15560,-1658
ISNE,"7/1/2015 2 p.m. EDT",17569,17830,15763,-1806
ISNE,"7/1/2015 3 p.m. EDT",17846,18060,16163,-1683
ISNE,"7/1/2015 4 p.m. EDT",18117,18180,16443,-1674
ISNE,"7/1/2015 5 p.m. EDT",18354,18260,16771,-1583
ISNE,"7/1/2015 6 p.m. EDT",18456,18190,16906,-1550
ISNE,"7/1/2015 7 p.m. EDT",18150,17820,16488,-1662
ISNE,"7/1/2015 8 p.m. EDT",17653,17410,16007,-1646
ISNE,"7/1/2015 9 p.m. EDT",17286,17290,15468,-1818
ISNE,"7/1/2015 10 p.m. EDT",16701,16720,14882,-1819
ISNE,"7/1/2015 11 p.m. EDT",15220,15240,13830,-1390
ISNE,"7/2/2015 12 a.m. EDT",13594,13690,12151,-1443
ISNE,"7/2/2015 1 a.m. EDT",13011,12460,11606,-1405
ISNE,"7/2/2015 2 a.m. EDT",12881,11770,11648,-1233
ISNE,"7/2/2015 3 a.m. EDT",12635,11320,11237,-1398
ISNE,"7/2/2015 4 a.m. EDT",12426,11090,11085,-1341
ISNE,"7/2/2015 5 a.m. EDT",12459,11190,11109,-1350
ISNE,"7/2/2015 6 a.m. EDT",12942,11580,11656,-1286
ISNE,"7/2/2015 7 a.m. EDT",13642,13030,12557,-1085
ISNE,"7/2/2015 8 a.m. EDT",14158,14380,13124,-1034
ISNE,"7/2/2015 9 a.m. EDT",15123,15220,14120,-1003
ISNE,"7/2/2015 10 a.m. EDT",15784,15860,14661,-1123
ISNE,"7/2/2015 11 a.m. EDT",16339,16450,15030,-1309
ISNE,"7/2/2015 12 p.m. EDT",16730,16880,15205,-1525
ISNE,"7/2/2015 1 p.m. EDT",16988,17030,15328,-1660
ISNE,"7/2/2015 2 p.m. EDT",17270,17370,15646,-1624
ISNE,"7/2/2015 3 p.m. EDT",17394,17770,15860,-1534
ISNE,"7/2/2015 4 p.m. EDT",17342,17930,15794,-1548
ISNE,"7/2/2015 5 p.m. EDT",17280,18200,15573,-1707
ISNE,"7/2/2015 6 p.m. EDT",17139,18000,15336,-1803
ISNE,"7/2/2015 7 p.m. EDT",16726,17520,14943,-1783
ISNE,"7/2/2015 8 p.m. EDT",16305,16950,14608,-1697
ISNE,"7/2/2015 9 p.m. EDT",16178,16730,14409,-1769
ISNE,"7/2/2015 10 p.m. EDT",15779,16140,14308,-1471
ISNE,"7/2/2015 11 p.m. EDT",14564,14690,13521,-1043
ISNE,"7/3/2015 12 a.m. EDT",13356,13250,12292,-1064
ISNE,"7/3/2015 1 a.m. EDT",12463,12130,11312,-1151
ISNE,"7/3/2015 2 a.m. EDT",11827,11340,11003,-824
ISNE,"7/3/2015 3 a.m. EDT",11543,10850,10788,-755
ISNE,"7/3/2015 4 a.m. EDT",11491,10560,10781,-710
ISNE,"7/3/2015 5 a.m. EDT",11705,10340,10922,-783
ISNE,"7/3/2015 6 a.m. EDT",11785,10380,10666,-1119
ISNE,"7/3/2015 7 a.m. EDT",11714,10830,10899,-815
ISNE,"7/3/2015 8 a.m. EDT",12415,11800,11388,-1027
ISNE,"7/3/2015 9 a.m. EDT",13099,12860,12052,-1047
ISNE,"7/3/2015 10 a.m. EDT",13793,13660,12840,-953
ISNE,"7/3/2015 11 a.m. EDT",14295,14170,13421,-874
ISNE,"7/3/2015 12 p.m. EDT",14614,14480,13470,-1144
ISNE,"7/3/2015 1 p.m. EDT",14792,14670,13754,-1038
ISNE,"7/3/2015 2 p.m. EDT",14984,14760,13878,-1106
ISNE,"7/3/2015 3 p.m. EDT",15227,14820,14071,-1156
ISNE,"7/3/2015 4 p.m. EDT",15551,14860,14482,-1069
ISNE,"7/3/2015 5 p.m. EDT",15947,14830,14826,-1121
ISNE,"7/3/2015 6 p.m. EDT",16186,14910,15143,-1043
ISNE,"7/3/2015 7 p.m. EDT",15858,14830,14978,-880
ISNE,"7/3/2015 8 p.m. EDT",15256,14660,14273,-983
ISNE,"7/3/2015 9 p.m. EDT",14964,14510,14000,-964
ISNE,"7/3/2015 10 p.m. EDT",14578,14490,13604,-974
ISNE,"7/3/2015 11 p.m. EDT",13600,13500,12707,-893
ISNE,"7/4/2015 12 a.m. EDT",12491,12310,11715,-776
